group_id,seq,is_chiitoi
0009fd0000,"[34, 38, 44, 66, 18, 30, 29, 9, 18, 33, 25, 31, 27, 27]",0
0009fd0001,"[34, 39, 44, 66, 30, 33, 28, 1, 5, 10, 2, 10]",0
0009fd0002,"[34, 40, 44, 66, 9, 30, 29, 10, 12, 5, 8, 8, 2, 18, 26]",0
0009fd0003,"[34, 41, 44, 66, 30, 29, 17, 28, 25, 19]",0
0009fd0010,"[34, 38, 44, 51, 17, 8, 28, 17, 29, 33, 32, 31, 32, 11]",0
0009fd00100,"[35, 38, 44, 78, 0, 18, 7, 27, 33, 20, 20, 17, 17, 14, 8]",0
0009fd00101,"[35, 39, 44, 78, 26, 33, 7]",0
0009fd00102,"[35, 40, 44, 78, 27]",0
0009fd00103,"[35, 41, 44, 78, 30, 29]",0
0009fd0011,"[34, 39, 44, 51, 28, 2, 8, 20, 7, 9, 30, 28, 28, 11]",1
0009fd0012,"[34, 40, 44, 51, 17, 27, 26, 10, 29, 23, 23, 10, 25]",0
0009fd0013,"[34, 41, 44, 51, 0, 33, 31, 31, 0, 16, 31, 9, 10]",0
0009fd0020,"[34, 38, 44, 68, 29, 30, 14, 28, 16, 19, 1]",1
0009fd0021,"[34, 39, 44, 68, 26, 9, 9, 31, 30, 15, 7]",0
0009fd0022,"[34, 40, 44, 68, 9, 17, 18, 33]",0
0009fd0023,"[34, 41, 44, 68, 28, 32, 27, 16, 28, 0]",0
0009fd0030,"[34, 38, 44, 60, 28, 27, 32, 17, 26, 24, 16, 0, 11, 11]",0
0009fd0031,"[34, 39, 44, 60, 29, 24, 17, 33, 32, 30]",0
0009fd0032,"[34, 40, 44, 60, 18, 28, 33, 16, 27, 22, 8, 6]",0
0009fd0033,"[34, 41, 44, 60, 9, 31, 25, 8, 26, 18, 27, 29, 32, 19]",0
0009fd0040,"[34, 38, 44, 74, 28, 30, 1, 10, 20]",0
0009fd0041,"[34, 39, 44, 74, 26, 0, 10, 31, 27, 32]",0
0009fd0042,"[34, 40, 44, 74, 0, 0, 17, 31, 17, 8, 8, 18, 32, 9, 9, 26]",0
0009fd0043,"[34, 41, 44, 74, 28, 30, 9, 19, 27, 28, 7]",0
0009fd0050,"[34, 38, 44, 61, 29, 9, 10, 28, 19, 21, 24, 26, 14]",0
0009fd0051,"[34, 39, 44, 61, 18, 17]",0
0009fd0052,"[34, 40, 44, 61, 17, 28, 31, 10, 24, 30]",0
0009fd0053,"[34, 41, 44, 61, 30, 32, 31, 27, 0]",0
0009fd0060,"[35, 38, 44, 51, 17, 8, 10, 28, 31, 27, 29]",0
0009fd0061,"[35, 39, 44, 51, 31, 32, 33, 7, 17, 16, 12, 19, 24, 25, 11, 16]",0
