,exog,endog,probabilities
41304,"[0, 0, 18, 0, 31, 27, 33, 30, 24, 12, 33, 14, 0, 32, 33, 32, 12, 12, 11, 11, 32, 1, 10]",0,0.6018648
32732,"[1, 0, 18, 0, 24, 27, 0, 33, 19, 30, 28, 32, 31, 33, 15, 10, 15, 16, 12, 15, 6, 21, 9]",0,0.5149812
17837,"[1, 0, 17, 0, 30, 17, 29, 10, 18, 18, 27, 7, 7, 11, 23, 25, 13, 32, 21, 24, 16, 29]",0,0.4828416
11038,"[0, 0, 18, 0, 5, 0, 29, 31, 0, 32, 1, 14, 26, 16, 30, 26, 19, 19, 18, 23, 10, 9, 24]",0,0.4589426
31821,"[1, 0, 18, 0, 17, 18, 8, 3, 27, 32, 8, 11, 23, 32, 25, 19, 22, 29, 2, 2, 8, 25, 13]",1,0.42768905
24458,"[0, 0, 15, 0, 23, 28, 32, 0, 18, 31, 33, 25, 30, 11, 25, 13, 23, 21, 20, 13]",0,0.42743284
29917,"[0, 0, 16, 0, 7, 29, 17, 29, 15, 33, 19, 9, 17, 19, 2, 16, 32, 12, 25, 19, 24]",0,0.426246
18927,"[0, 0, 18, 0, 17, 31, 32, 29, 19, 20, 26, 0, 11, 27, 10, 0, 8, 7, 23, 22, 23, 18, 15]",1,0.42399192
18005,"[1, 1, 18, 0, 27, 18, 29, 21, 33, 33, 0, 27, 1, 1, 24, 31, 25, 7, 29, 19, 13, 28, 5]",0,0.39525145
32939,"[1, 0, 15, 0, 24, 27, 29, 18, 1, 32, 7, 8, 31, 7, 9, 31, 22, 20, 5, 10]",0,0.3950508
2849,"[1, 0, 17, 0, 27, 31, 20, 28, 18, 1, 16, 30, 24, 0, 26, 31, 6, 25, 23, 32, 16, 24]",0,0.38396597
33658,"[1, 0, 17, 0, 29, 9, 0, 8, 18, 33, 25, 33, 3, 12, 15, 31, 9, 16, 27, 23, 7, 22]",0,0.38137338
36077,"[0, 0, 16, 0, 5, 29, 31, 32, 23, 32, 20, 19, 21, 5, 0, 28, 30, 17, 22, 10, 16]",1,0.3743906
29897,"[0, 0, 18, 0, 33, 28, 1, 8, 19, 31, 15, 31, 9, 24, 20, 1, 3, 1, 16, 23, 13, 29, 5]",0,0.3706926
2556,"[0, 0, 18, 0, 29, 29, 30, 18, 22, 0, 2, 23, 24, 25, 8, 9, 1, 17, 2, 9, 15, 12, 4]",1,0.36766875
17445,"[1, 0, 19, 0, 22, 25, 28, 20, 32, 19, 26, 24, 21, 9, 21, 17, 17, 9, 8, 8, 0, 30, 13, 25]",1,0.3611526
206,"[0, 0, 16, 0, 14, 32, 25, 26, 18, 5, 26, 29, 19, 5, 17, 20, 22, 27, 23, 3, 5]",0,0.35875538
